Selected Nomen,Native Nomen,Reporter,Reporter Name,Product,Partner,Partner Name,Tariff Year,Trade Year,Trade Source,Duty Type,Simple Average,Weighted Average,Standard Deviation,Minimum Rate,Maximum Rate,Nbr of Total Lines,Nbr of DomesticPeaks,Nbr of InternationalPeaks,Imports Value in 1000 USD,Binding Coverage
HS,H5,840,United States,6109,50,Bangladesh,2020,2020,CMT,MFN,15.27,16.29,10.33,2.6,32,5,3,3,"2,65,360.19",
HS,H5,840,United States,6109,50,Bangladesh,2021,2021,CMT,MFN,15.27,16.28,10.33,2.6,32,5,3,3,"5,04,477.28",
HS,H5,840,United States,6109,156,China,2020,2020,CMT,MFN,15.27,15.41,10.33,2.6,32,5,3,3,"4,62,417.34",
HS,H5,840,United States,6109,156,China,2021,2021,CMT,MFN,15.27,15.36,10.33,2.6,32,5,3,3,"6,95,121.47",
HS,H5,840,United States,6109,410,"Korea, Rep.",2020,2020,CMT,MFN,15.27,15.5,10.33,2.6,32,5,3,3,"5,147.53",
HS,H5,840,United States,6109,410,"Korea, Rep.",2021,2021,CMT,MFN,15.27,15.43,10.33,2.6,32,5,3,3,"9,473.32",
HS,H5,840,United States,6109,484,Mexico,2020,2020,CMT,MFN,15.27,15.61,10.33,2.6,32,5,3,3,"3,96,595.72",
HS,H5,840,United States,6109,484,Mexico,2021,2021,CMT,MFN,15.27,15.61,10.33,2.6,32,5,3,3,"5,22,340.18",
HS,H5,840,United States,6109,704,Vietnam,2020,2020,CMT,MFN,15.27,15.78,10.33,2.6,32,5,3,3,"3,80,199.39",
HS,H5,840,United States,6109,704,Vietnam,2021,2021,CMT,MFN,15.27,15.8,10.33,2.6,32,5,3,3,"4,75,577.87",
HS,H5,840,United States,8517,50,Bangladesh,2020,2020,CMT,MFN,0,0,0,0,0,2,0,0,280.708,
HS,H5,840,United States,8517,50,Bangladesh,2021,2021,CMT,MFN,0,0,0,0,0,2,0,0,133.801,
HS,H5,840,United States,8517,156,China,2020,2020,CMT,MFN,0,0,0,0,0,7,0,0,"5,37,33,638.03",
HS,H5,840,United States,8517,156,China,2021,2021,CMT,MFN,0,0,0,0,0,7,0,0,"6,15,65,832.22",
HS,H5,840,United States,8517,410,"Korea, Rep.",2020,2020,CMT,MFN,0,0,0,0,0,7,0,0,"18,21,088.53",
HS,H5,840,United States,8517,410,"Korea, Rep.",2021,2021,CMT,MFN,0,0,0,0,0,7,0,0,"26,93,895.54",
HS,H5,840,United States,8517,484,Mexico,2020,2020,CMT,MFN,0,0,0,0,0,7,0,0,"78,87,305.72",
HS,H5,840,United States,8517,484,Mexico,2021,2021,CMT,MFN,0,0,0,0,0,7,0,0,"86,67,368.69",
HS,H5,840,United States,8517,704,Vietnam,2020,2020,CMT,MFN,0,0,0,0,0,7,0,0,"1,33,52,959.17",
HS,H5,840,United States,8517,704,Vietnam,2021,2021,CMT,MFN,0,0,0,0,0,7,0,0,"1,75,51,630.47",
HS,H5,840,United States,8708,50,Bangladesh,2020,2020,CMT,MFN,1.88,1.88,1.08,0,2.5,4,0,0,5.608,
HS,H5,840,United States,8708,156,China,2020,2020,CMT,MFN,1.3,1.15,1.24,0,2.5,84,0,0,"81,13,237.42",
HS,H5,840,United States,8708,156,China,2021,2021,CMT,MFN,1.3,1.15,1.24,0,2.5,84,0,0,"1,02,46,837.78",
HS,H5,840,United States,8708,410,"Korea, Rep.",2020,2020,CMT,MFN,1.3,1.22,1.24,0,2.5,84,0,0,"39,77,665.12",
HS,H5,840,United States,8708,410,"Korea, Rep.",2021,2021,CMT,MFN,1.3,1.25,1.24,0,2.5,84,0,0,"52,25,080.68",
HS,H5,840,United States,8708,484,Mexico,2020,2020,CMT,MFN,1.3,1.22,1.24,0,2.5,84,0,0,"2,24,87,772.58",
HS,H5,840,United States,8708,484,Mexico,2021,2021,CMT,MFN,1.3,1.23,1.24,0,2.5,84,0,0,"2,61,86,428.10",
HS,H5,840,United States,8708,704,Vietnam,2020,2020,CMT,MFN,1.21,1.21,1.24,0,2.5,83,0,0,"2,53,466.08",
HS,H5,840,United States,8708,704,Vietnam,2021,2021,CMT,MFN,1.3,1.27,1.24,0,2.5,84,0,0,"4,09,804.47",
HS,H6,840,United States,6109,50,Bangladesh,2022,2022,CMT,MFN,15.27,16.3,10.33,2.6,32,5,3,3,"7,07,577.75",
HS,H6,840,United States,6109,50,Bangladesh,2023,2023,CMT,MFN,15.27,16.32,10.33,2.6,32,5,3,3,"4,49,572.72",
HS,H6,840,United States,6109,156,China,2022,2022,CMT,MFN,15.27,15.19,10.33,2.6,32,5,3,3,"7,61,753.17",
HS,H6,840,United States,6109,156,China,2023,2023,CMT,MFN,15.27,15.21,10.33,2.6,32,5,3,3,"5,85,045.64",
HS,H6,840,United States,6109,410,"Korea, Rep.",2022,2022,CMT,MFN,15.27,14.99,10.33,2.6,32,5,3,3,"13,461.71",
HS,H6,840,United States,6109,410,"Korea, Rep.",2023,2023,CMT,MFN,15.27,14.8,10.33,2.6,32,5,3,3,"13,654.86",
HS,H6,840,United States,6109,484,Mexico,2022,2022,CMT,MFN,15.27,15.57,10.33,2.6,32,5,3,3,"5,30,560.01",
HS,H6,840,United States,6109,484,Mexico,2023,2023,CMT,MFN,15.27,15.63,10.33,2.6,32,5,3,3,"4,72,173.49",
HS,H6,840,United States,6109,704,Vietnam,2022,2022,CMT,MFN,15.27,15.69,10.33,2.6,32,5,3,3,"5,36,706.37",
HS,H6,840,United States,6109,704,Vietnam,2023,2023,CMT,MFN,15.27,15.73,10.33,2.6,32,5,3,3,"4,28,670.53",
HS,H6,840,United States,8517,50,Bangladesh,2022,2022,CMT,MFN,0,0,0,0,0,2,0,0,125.311,
HS,H6,840,United States,8517,50,Bangladesh,2023,2023,CMT,MFN,0,0,0,0,0,2,0,0,61.735,
HS,H6,840,United States,8517,156,China,2022,2022,CMT,MFN,0,0,0,0,0,9,0,0,"6,44,03,930.80",
HS,H6,840,United States,8517,156,China,2023,2023,CMT,MFN,0,0,0,0,0,9,0,0,"5,52,16,749.07",
HS,H6,840,United States,8517,410,"Korea, Rep.",2022,2022,CMT,MFN,0,0,0,0,0,9,0,0,"13,82,339.63",
HS,H6,840,United States,8517,410,"Korea, Rep.",2023,2023,CMT,MFN,0,0,0,0,0,9,0,0,"14,81,020.21",
HS,H6,840,United States,8517,484,Mexico,2022,2022,CMT,MFN,0,0,0,0,0,9,0,0,"99,71,540.77",
HS,H6,840,United States,8517,484,Mexico,2023,2023,CMT,MFN,0,0,0,0,0,9,0,0,"1,03,60,714.73",
HS,H6,840,United States,8517,704,Vietnam,2022,2022,CMT,MFN,0,0,0,0,0,9,0,0,"2,45,92,076.70",
HS,H6,840,United States,8517,704,Vietnam,2023,2023,CMT,MFN,0,0,0,0,0,9,0,0,"1,91,57,603.32",
HS,H6,840,United States,8708,50,Bangladesh,2022,2022,CMT,MFN,1.01,0.89,1.18,0,2.5,15,0,0,258.819,
HS,H6,840,United States,8708,50,Bangladesh,2023,2023,CMT,MFN,1.01,0.78,1.18,0,2.5,15,0,0,258.262,
HS,H6,840,United States,8708,156,China,2022,2022,CMT,MFN,1.55,1.24,1.3,0,4.9,86,0,0,"1,16,44,238.20",
HS,H6,840,United States,8708,156,China,2023,2023,CMT,MFN,1.54,1.25,1.3,0,4.9,85,0,0,"99,18,736.78",
HS,H6,840,United States,8708,410,"Korea, Rep.",2022,2022,CMT,MFN,1.55,1.33,1.3,0,4.9,86,0,0,"64,67,805.28",
HS,H6,840,United States,8708,410,"Korea, Rep.",2023,2023,CMT,MFN,1.54,1.31,1.3,0,4.9,85,0,0,"61,69,581.85",
HS,H6,840,United States,8708,484,Mexico,2022,2022,CMT,MFN,1.55,1.29,1.3,0,4.9,86,0,0,"3,12,35,653.58",
HS,H6,840,United States,8708,484,Mexico,2023,2023,CMT,MFN,1.54,1.27,1.3,0,4.9,85,0,0,"3,51,19,285.54",
HS,H6,840,United States,8708,704,Vietnam,2022,2022,CMT,MFN,1.31,1.37,1.25,0,2.5,85,0,0,"5,29,503.88",
HS,H6,840,United States,8708,704,Vietnam,2023,2023,CMT,MFN,1.3,1.34,1.24,0,2.5,84,0,0,"5,53,013.04",
