Selected Nomen,Native Nomen,Reporter,Reporter Name,Product,Partner,Partner Name,Tariff Year,Trade Year,Trade Source,Duty Type,Simple Average,Weighted Average,Standard Deviation,Minimum Rate,Maximum Rate,Nbr of Total Lines,Nbr of DomesticPeaks,Nbr of InternationalPeaks,Imports Value in 1000 USD
HS,H5,840,United States,6109,50,Bangladesh,2020,2020,CMT,MFN,15.27,16.29,10.33,2.6,32.0,5,3,3,265360.19
HS,H5,840,United States,6109,50,Bangladesh,2021,2021,CMT,MFN,15.27,16.28,10.33,2.6,32.0,5,3,3,504477.28
HS,H5,840,United States,6109,156,China,2020,2020,CMT,MFN,15.27,15.41,10.33,2.6,32.0,5,3,3,462417.34
HS,H5,840,United States,6109,156,China,2021,2021,CMT,MFN,15.27,15.36,10.33,2.6,32.0,5,3,3,695121.47
HS,H5,840,United States,6109,410,"Korea, Rep.",2020,2020,CMT,MFN,15.27,15.5,10.33,2.6,32.0,5,3,3,5147.53
HS,H5,840,United States,6109,410,"Korea, Rep.",2021,2021,CMT,MFN,15.27,15.43,10.33,2.6,32.0,5,3,3,9473.32
HS,H5,840,United States,6109,484,Mexico,2020,2020,CMT,MFN,15.27,15.61,10.33,2.6,32.0,5,3,3,396595.72
HS,H5,840,United States,6109,484,Mexico,2021,2021,CMT,MFN,15.27,15.61,10.33,2.6,32.0,5,3,3,522340.18
HS,H5,840,United States,6109,704,Viet Nam,2020,2020,CMT,MFN,15.27,15.78,10.33,2.6,32.0,5,3,3,380199.39
HS,H5,840,United States,6109,704,Viet Nam,2021,2021,CMT,MFN,15.27,15.8,10.33,2.6,32.0,5,3,3,475577.87
HS,H5,840,United States,8517,50,Bangladesh,2020,2020,CMT,MFN,0.0,0.0,0.0,0.0,0.0,2,0,0,280.708
HS,H5,840,United States,8517,50,Bangladesh,2021,2021,CMT,MFN,0.0,0.0,0.0,0.0,0.0,2,0,0,133.801
HS,H5,840,United States,8517,156,China,2020,2020,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,53733638.03
HS,H5,840,United States,8517,156,China,2021,2021,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,61565832.22
HS,H5,840,United States,8517,410,"Korea, Rep.",2020,2020,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,1821088.53
HS,H5,840,United States,8517,410,"Korea, Rep.",2021,2021,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,2693895.54
HS,H5,840,United States,8517,484,Mexico,2020,2020,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,7887305.72
HS,H5,840,United States,8517,484,Mexico,2021,2021,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,8667368.69
HS,H5,840,United States,8517,704,Viet Nam,2020,2020,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,13352959.17
HS,H5,840,United States,8517,704,Viet Nam,2021,2021,CMT,MFN,0.0,0.0,0.0,0.0,0.0,7,0,0,17551630.47
HS,H5,840,United States,8708,50,Bangladesh,2020,2020,CMT,MFN,1.88,1.88,1.08,0.0,2.5,4,0,0,5.608
HS,H5,840,United States,8708,156,China,2020,2020,CMT,MFN,1.3,1.15,1.24,0.0,2.5,84,0,0,8113237.42
HS,H5,840,United States,8708,156,China,2021,2021,CMT,MFN,1.3,1.15,1.24,0.0,2.5,84,0,0,10246837.78
HS,H5,840,United States,8708,410,"Korea, Rep.",2020,2020,CMT,MFN,1.3,1.22,1.24,0.0,2.5,84,0,0,3977665.12
HS,H5,840,United States,8708,410,"Korea, Rep.",2021,2021,CMT,MFN,1.3,1.25,1.24,0.0,2.5,84,0,0,5225080.68
HS,H5,840,United States,8708,484,Mexico,2020,2020,CMT,MFN,1.3,1.22,1.24,0.0,2.5,84,0,0,22487772.58
HS,H5,840,United States,8708,484,Mexico,2021,2021,CMT,MFN,1.3,1.23,1.24,0.0,2.5,84,0,0,26186428.1
HS,H5,840,United States,8708,704,Viet Nam,2020,2020,CMT,MFN,1.21,1.21,1.24,0.0,2.5,83,0,0,253466.08
HS,H5,840,United States,8708,704,Viet Nam,2021,2021,CMT,MFN,1.3,1.27,1.24,0.0,2.5,84,0,0,409804.47
HS,H6,840,United States,6109,50,Bangladesh,2022,2022,CMT,MFN,15.27,16.3,10.33,2.6,32.0,5,3,3,707577.75
HS,H6,840,United States,6109,50,Bangladesh,2023,2023,CMT,MFN,15.27,16.32,10.33,2.6,32.0,5,3,3,449572.72
HS,H6,840,United States,6109,156,China,2022,2022,CMT,MFN,15.27,15.19,10.33,2.6,32.0,5,3,3,761753.17
HS,H6,840,United States,6109,156,China,2023,2023,CMT,MFN,15.27,15.21,10.33,2.6,32.0,5,3,3,585045.64
HS,H6,840,United States,6109,410,"Korea, Rep.",2022,2022,CMT,MFN,15.27,14.99,10.33,2.6,32.0,5,3,3,13461.71
HS,H6,840,United States,6109,410,"Korea, Rep.",2023,2023,CMT,MFN,15.27,14.8,10.33,2.6,32.0,5,3,3,13654.86
HS,H6,840,United States,6109,484,Mexico,2022,2022,CMT,MFN,15.27,15.57,10.33,2.6,32.0,5,3,3,530560.01
HS,H6,840,United States,6109,484,Mexico,2023,2023,CMT,MFN,15.27,15.63,10.33,2.6,32.0,5,3,3,472173.49
HS,H6,840,United States,6109,704,Viet Nam,2022,2022,CMT,MFN,15.27,15.69,10.33,2.6,32.0,5,3,3,536706.37
HS,H6,840,United States,6109,704,Viet Nam,2023,2023,CMT,MFN,15.27,15.73,10.33,2.6,32.0,5,3,3,428670.53
HS,H6,840,United States,8517,50,Bangladesh,2022,2022,CMT,MFN,0.0,0.0,0.0,0.0,0.0,2,0,0,125.311
HS,H6,840,United States,8517,50,Bangladesh,2023,2023,CMT,MFN,0.0,0.0,0.0,0.0,0.0,2,0,0,61.735
HS,H6,840,United States,8517,156,China,2022,2022,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,64403930.8
HS,H6,840,United States,8517,156,China,2023,2023,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,55216749.07
HS,H6,840,United States,8517,410,"Korea, Rep.",2022,2022,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,1382339.63
HS,H6,840,United States,8517,410,"Korea, Rep.",2023,2023,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,1481020.21
HS,H6,840,United States,8517,484,Mexico,2022,2022,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,9971540.77
HS,H6,840,United States,8517,484,Mexico,2023,2023,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,10360714.73
HS,H6,840,United States,8517,704,Viet Nam,2022,2022,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,24592076.7
HS,H6,840,United States,8517,704,Viet Nam,2023,2023,CMT,MFN,0.0,0.0,0.0,0.0,0.0,9,0,0,19157603.32
HS,H6,840,United States,8708,50,Bangladesh,2022,2022,CMT,MFN,1.01,0.89,1.18,0.0,2.5,15,0,0,258.819
HS,H6,840,United States,8708,50,Bangladesh,2023,2023,CMT,MFN,1.01,0.78,1.18,0.0,2.5,15,0,0,258.262
HS,H6,840,United States,8708,156,China,2022,2022,CMT,MFN,1.55,1.24,1.3,0.0,4.9,86,0,0,11644238.2
HS,H6,840,United States,8708,156,China,2023,2023,CMT,MFN,1.54,1.25,1.3,0.0,4.9,85,0,0,9918736.78
HS,H6,840,United States,8708,410,"Korea, Rep.",2022,2022,CMT,MFN,1.55,1.33,1.3,0.0,4.9,86,0,0,6467805.28
HS,H6,840,United States,8708,410,"Korea, Rep.",2023,2023,CMT,MFN,1.54,1.31,1.3,0.0,4.9,85,0,0,6169581.85
HS,H6,840,United States,8708,484,Mexico,2022,2022,CMT,MFN,1.55,1.29,1.3,0.0,4.9,86,0,0,31235653.58
HS,H6,840,United States,8708,484,Mexico,2023,2023,CMT,MFN,1.54,1.27,1.3,0.0,4.9,85,0,0,35119285.54
HS,H6,840,United States,8708,704,Viet Nam,2022,2022,CMT,MFN,1.31,1.37,1.25,0.0,2.5,85,0,0,529503.88
HS,H6,840,United States,8708,704,Viet Nam,2023,2023,CMT,MFN,1.3,1.34,1.24,0.0,2.5,84,0,0,553013.04
