year,reporterISO,reporterDesc,partnerISO,partnerDesc,cmdCode,cmdDesc,flowDesc,qty,netWgt,cifvalue,fobvalue,primaryValue
2020,USA,USA,VNM,Viet Nam,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,134356608.0,21760312.0,380199389.0,0.0,380199389.0
2020,USA,USA,KOR,"Korea, Rep.",6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,968388.0,176810.0,5147532.0,0.0,5147532.0
2020,USA,USA,MEX,Mexico,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,181811472.0,31601866.0,396595721.0,0.0,396595721.0
2020,USA,USA,BGD,Bangladesh,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,164275800.0,27615748.0,265360188.0,0.0,265360188.0
2020,USA,USA,CHN,China,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,268204548.0,50283977.0,462417335.0,0.0,462417335.0
2020,USA,USA,MEX,Mexico,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,1833090672.302,1833090672.302,22487772580.0,0.0,22487772580.0
2020,USA,USA,BGD,Bangladesh,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,411.445,411.445,5608.0,0.0,5608.0
2020,USA,USA,VNM,Viet Nam,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,21819460.477,21819460.477,253466076.0,0.0,253466076.0
2020,USA,USA,KOR,"Korea, Rep.",8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,337361751.815,337361751.815,3977665122.0,0.0,3977665122.0
2020,USA,USA,CHN,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,885358242.142,885358242.142,8113237421.0,0.0,8113237421.0
2020,USA,USA,VNM,Viet Nam,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,44848957.324,13352959169.0,0.0,13352959169.0
2020,USA,USA,KOR,"Korea, Rep.",8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,4587412.714,1821088529.0,0.0,1821088529.0
2020,USA,USA,MEX,Mexico,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,49148611.851,7887305724.0,0.0,7887305724.0
2020,USA,USA,BGD,Bangladesh,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,1299.063,280708.0,0.0,280708.0
2020,USA,USA,CHN,China,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,156937649.657,53733638032.0,0.0,53733638032.0
2021,USA,USA,BGD,Bangladesh,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,291800820.0,51110078.0,504477283.0,0.0,504477283.0
2021,USA,USA,CHN,China,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,379913976.0,72096327.0,695121465.0,0.0,695121465.0
