country,product,total_trade_value,avg_tariff,avg_gdp_per_capita
China,8517,234920150129,0,12359.17
Mexico,8708,115029139801,1.25,11095.9
Viet Nam,8517,74654269654,0,3927.32
China,8708,39923050173,1.2,12359.17
Mexico,8517,36886929916,0,11095.9
"Korea, Rep.",8708,21840132941,1.28,33090.72
"Korea, Rep.",8517,7378343906,0,33090.72
China,6109,2504337605,15.29,12359.17
Bangladesh,6109,1926987936,16.3,2499.8
Mexico,6109,1921669403,15.6,11095.9
Viet Nam,6109,1821154158,15.75,3927.32
Viet Nam,8708,1745787474,1.3,3927.32
"Korea, Rep.",6109,41737420,15.18,33090.72
Bangladesh,8517,601555,0,2499.8
Bangladesh,8708,522689,1.18,2505.45
