country,product,avg_tariff,total_trade_value
Bangladesh,6109,16.3,7707951744
Viet Nam,6109,15.75,7284616632
Mexico,6109,15.6,7686677612
China,6109,15.29,10017350420
"Korea, Rep.",6109,15.18,166949680
Viet Nam,8708,1.3,6983149896
"Korea, Rep.",8708,1.28,87360531764
Mexico,8708,1.25,460116559204
China,8708,1.2,159692200692
Bangladesh,8708,1.18,1568067
Viet Nam,8517,0,298617078616
"Korea, Rep.",8517,0,29513375624
Mexico,8517,0,147547719664
Bangladesh,8517,0,2406220
China,8517,0,939680600516
